genomes,ratio_1,ratio_2,ratio_3
GCA_000177115.1_ASM17711v1_genomic.fna,0.004706454411394733,0.03333333333333333,0.006978887942417832
GCA_001070735.1_ASM107073v1_genomic.fna,0.0012689289928006183,0.03333333333333333,0.026200592680129864
GCA_001469335.1_ASM146933v1_genomic.fna,0.01284694465853542,0.03333333333333333,0.03570330144492778
GCA_001658525.1_ASM165852v1_genomic.fna,0.014948383344897504,0.03333333333333333,0.01817303164609152
GCA_007667225.1_ASM766722v1_genomic.fna,0.01646570802850295,0.03333333333333333,0.005058316251323411
GCA_009897165.1_ASM989716v1_genomic.fna,0.0069044634971233325,0.03333333333333333,0.032766369630207993
GCA_010140405.1_ASM1014040v1_genomic.fna,0.0006452802996649039,0.03333333333333333,0.015889494368876548
GCA_010145255.1_ASM1014525v1_genomic.fna,0.00848316199707065,0.03333333333333333,0.01783666879757889
GCA_010147865.1_ASM1014786v1_genomic.fna,0.007103782134849432,0.03333333333333333,0.0763925755437306
GCA_010151165.1_ASM1015116v1_genomic.fna,0.010560645530917089,0.03333333333333333,0.10278353042576609
GCA_010153135.1_ASM1015313v1_genomic.fna,0.005436168526620783,0.03333333333333333,0.00702638453651136
GCA_010158175.1_ASM1015817v1_genomic.fna,0.009231582447229696,0.03333333333333333,0.03459186991756956
GCA_010161595.1_ASM1016159v1_genomic.fna,0.0020326225999542087,0.03333333333333333,0.024795778202286112
GCA_010169415.1_ASM1016941v1_genomic.fna,0.0018203468294344498,0.03333333333333333,0.09862929322022321
GCA_016808565.1_ASM1680856v1_genomic.fna,0.8,0.03333333333333333,0.031007899836983682
GCA_016887325.1_ASM1688732v1_genomic.fna,0.013454943166186423,0.03333333333333333,0.04830308126151683
GCA_021994825.1_ASM2199482v1_genomic.fna,0.004105071890828951,0.03333333333333333,0.12181640585345083
GCA_022002995.1_ASM2200299v1_genomic.fna,0.008910341876532151,0.03333333333333333,0.04648249318321064
GCA_022004555.1_ASM2200455v1_genomic.fna,0.004596220250604087,0.03333333333333333,0.014207727850804583
GCA_022008135.1_ASM2200813v1_genomic.fna,0.00585963281356601,0.03333333333333333,0.018689658478553205
GCA_029917425.1_ASM2991742v1_genomic.fna,1.4496511615694832e-05,0.03333333333333333,0.017011486686655135
GCA_029917645.1_ASM2991764v1_genomic.fna,0.0009091275753139159,0.03333333333333333,0.019471475993320993
GCA_030235045.1_ASM3023504v1_genomic.fna,0.0007775534293411745,0.03333333333333333,0.03217162439510806
GCA_030716625.1_ASM3071662v1_genomic.fna,0.006480551331870789,0.03333333333333333,0.0713047970216361
GCA_031734655.1_ASM3173465v1_genomic.fna,0.009415430948772766,0.03333333333333333,0.024283889432295824
GCA_032471895.1_ASM3247189v1_genomic.fna,0.0024156957608459837,0.03333333333333333,0.024694281331648395
GCA_037698885.1_ASM3769888v1_genomic.fna,0.008620979723619923,0.03333333333333333,0.013803182210426552
GCA_045501355.1_ASM4550135v1_genomic.fna,0.0033813113928394672,0.03333333333333333,0.0022292923902105335
GCA_050578175.1_ASM5057817v1_genomic.fna,0.002980893304775077,0.03333333333333333,0.004468263317443636
GCA_964209235.1_FFDD_204.1_genomic.fna,0.02562327672429182,0.03333333333333333,0.007228346149094332
